row,col,state,cell_type,reward,utility
1,1,r1c1,G,1.0,99.99999999999994
1,3,r1c3,G,1.0,95.01955052845392
1,4,r1c4,E,-0.05,93.83778385198505
1,5,r1c5,E,-0.05,92.60539253213487
1,6,r1c6,G,1.0,93.2837968869849
2,1,r2c1,E,-0.05,98.38057571758205
2,2,r2c2,B,-1.0,95.86766385395423
2,3,r2c3,E,-0.05,94.51647482425734
2,4,r2c4,G,1.0,94.36726497073762
2,6,r2c6,B,-1.0,90.87377448191027
3,1,r3c1,E,-0.05,96.92204787171228
3,2,r3c2,E,-0.05,95.54898145543197
3,3,r3c3,B,-1.0,93.256056056653
3,4,r3c4,E,-0.05,93.13410412706348
3,5,r3c5,G,1.0,93.05940121849123
3,6,r3c6,E,-0.05,91.74121646844476
4,1,r4c1,E,-0.05,95.51396529843562
4,2,r4c2,E,-0.05,94.40223049994313
4,3,r4c3,S,-0.05,93.17304784191299
4,4,r4c4,B,-1.0,91.07065223420999
4,5,r4c5,E,-0.05,91.76070736592244
4,6,r4c6,G,1.0,91.83502050192516
5,1,r5c1,E,-0.05,94.2606739605499
5,5,r5c5,B,-1.0,89.49421069598287
5,6,r5c6,E,-0.05,90.50306669969706
6,1,r6c1,E,-0.05,92.8723675305233
6,2,r6c2,E,-0.05,91.6520138206664
6,3,r6c3,E,-0.05,90.44687649123165
6,4,r6c4,E,-0.05,89.25676581178986
6,5,r6c5,E,-0.05,88.4989003650178
6,6,r6c6,E,-0.05,89.222885640729
