iteration,r1c1,r1c3,r1c4,r1c5,r1c6,r2c1,r2c2,r2c3,r2c4,r2c6,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c1,r5c5,r5c6,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,-0.05,-0.05,1.0,-0.05,-1.0,-0.05,1.0,-1.0,-0.05,-0.05,-1.0,-0.05,1.0,-0.05,-0.05,-0.05,-0.05,-1.0,-0.05,1.0,-0.05,-1.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
2,1.99,1.88605,0.83605,0.7321,1.88605,0.63805,-1.0495,0.742,1.7821,-0.4059999999999999,-0.0995,-0.19355,-1.0495,0.742,1.7821,0.83605,-0.0995,-0.0995,-0.19355,-1.0495,0.742,1.7821,-0.0995,-1.0495,0.63805,-0.0995,-0.0995,-0.0995,-0.0995,-0.09950000000000002,-0.0995
3,2.9701,2.7632395,1.70294845,1.5887074,2.75294845,1.4853464499999998,-0.53539795,1.516279,2.56765015,0.4133636000000003,0.42632365,-0.24255500000000002,-0.3580394499999999,1.4339506,2.56765015,1.62062005,-0.148505,-0.15781595,-0.25186595,-0.3580394499999999,1.4339506,2.5573591,-0.148505,-0.43105689999999997,1.32068965,-0.148505,-0.148505,-0.148505,-0.148505,-0.14850500000000003,0.4356346
4,3.9403989999999998,3.63063829105,2.5612749454000006,2.4448992376,3.61015910155,2.3963641015,0.12387562595000001,2.339678651800001,3.3441319247499997,1.2621811652000003,1.14458748475,0.21902015470000008,0.3188411324,2.2023303781,3.33598141315,2.3900671570000003,0.2573225567500001,-0.20725268405000002,-0.23537086700000004,0.25271525554999985,2.2013115641499996,3.3166180675000003,-0.19701995,0.22376251744999998,2.0635020494500003,-0.19701995,-0.19701995,-0.19701995,-0.19701995,0.23764597509999996,1.0244120331999997
5,4.90099501,4.488464936920149,3.4101008066564504,3.2933360574724,4.45869678400345,3.3202997410175503,0.9318670506723503,3.1687982740309,4.1201494114285,2.1091578791372,1.9829175246935502,0.8482589591700999,1.0927391949728005,2.96037991641145,4.096744635189699,3.1436403179048504,0.8614702053193,0.15496444454035008,0.20702297143930004,0.9864882765381497,2.94546127819675,4.06766486089855,0.11478951484600007,0.9698779509298998,2.803200701583101,-0.2450497505,-0.2450497505,-0.2450497505,0.09920566217919997,0.8070137710568497,1.7092373659861002
6,5.8519850599,5.336822238654841,4.2503590016311685,4.133368392310269,5.298739104236842,4.252552560297301,1.8059098698603022,4.005013859788742,4.893835925435094,2.9489011129998985,2.8599638667884015,1.6280669975833493,1.8867434817150461,3.7269172330374594,4.8489197542675555,3.8883886801880125,1.6210977098933972,0.7316035195802201,0.9284532618052294,1.723545283433836,3.694982911676476,4.81032783076096,0.6550127265523935,1.7063401189306129,3.545125356430439,-0.0076065548409679495,-0.292599252995,-0.01994896615307362,0.6087976277885065,1.4796282743376796,2.4192438182210685
7,6.793465209301,6.17589415580295,5.082038510794194,4.965008312233012,6.130380012713743,5.184559948026402,2.7079853376323837,4.840038046748879,5.66566840017679,3.7804837909295586,3.7623366833282654,2.466305208051026,2.7021144157841444,4.492748713306872,5.594259730789227,4.624773176973782,2.448008804214302,1.4918346082841767,1.6873605690167082,2.4660222551784274,4.437197883685189,5.545697531587908,1.3636019060929445,2.4463215481085134,4.279674724023425,0.43904970445373487,-0.11395904352705662,0.42821782591018864,1.2424075235775665,2.1814519749646473,3.143727619456224
8,7.72553055720799,7.005843505389053,5.905331155582064,5.788332615891421,6.953704414239012,6.111786429046613,3.6184262428595684,5.670299891439045,6.435113308126024,4.603796760673337,4.672807026083461,3.3455528278417255,3.5222564712395448,5.258550413450781,6.333288373922853,5.3538767028861605,3.319815151033336,2.312715292726283,2.48190244678384,3.203179049758715,5.173813965674936,6.273732787216347,2.1588161503441303,3.1801343548197316,5.008066075958685,1.0621566850573534,0.27516347530900087,1.01877388820365,1.9237066538403589,2.897981853393573,3.8666951612742193
9,8.64827525163591,7.82683434770427,6.720332058175231,6.6034237540238,7.76879556206021,7.031911255827439,4.529968779804346,6.493928471815703,7.201834015370062,5.418885654690619,5.584352477343511,4.238046176681101,4.342683734907683,6.022308679706888,7.066594676664257,6.07582571007944,4.208483678590303,3.1740478818345474,3.2857006651277345,3.9353718776722895,5.904178664007431,6.994628702580987,3.0067391973865405,3.9082925034616123,5.7294282101224105,1.7921770869488205,0.8457104626766061,1.6752928997058871,2.6260955453481007,3.6141560723422987,4.58609135661139
