row,col,state,action,arrow
1,1,r1c1,up,^
1,3,r1c3,left,<
1,4,r1c4,left,<
1,5,r1c5,left,<
1,6,r1c6,up,^
2,1,r2c1,up,^
2,2,r2c2,left,<
2,3,r2c3,left,<
2,4,r2c4,left,<
2,6,r2c6,up,^
3,1,r3c1,up,^
3,2,r3c2,left,<
3,3,r3c3,left,<
3,4,r3c4,up,^
3,5,r3c5,left,<
3,6,r3c6,left,<
4,1,r4c1,up,^
4,2,r4c2,left,<
4,3,r4c3,left,<
4,4,r4c4,up,^
4,5,r4c5,up,^
4,6,r4c6,up,^
5,1,r5c1,up,^
5,5,r5c5,up,^
5,6,r5c6,up,^
6,1,r6c1,up,^
6,2,r6c2,left,<
6,3,r6c3,left,<
6,4,r6c4,left,<
6,5,r6c5,up,^
6,6,r6c6,up,^
