row,col,state,cell_type,reward,utility
1,1,r1c1,G,1.0,99.9999990015835
1,3,r1c3,G,1.0,95.0195495300375
1,4,r1c4,E,-0.05,93.83778285356865
1,5,r1c5,E,-0.05,92.60539153371845
1,6,r1c6,G,1.0,93.28379588856843
2,1,r2c1,E,-0.05,98.38057471916562
2,2,r2c2,B,-1.0,95.86766285553779
2,3,r2c3,E,-0.05,94.51647382584089
2,4,r2c4,G,1.0,94.36726397232118
2,6,r2c6,B,-1.0,90.87377348349384
3,1,r3c1,E,-0.05,96.92204687329584
3,2,r3c2,E,-0.05,95.54898045701555
3,3,r3c3,B,-1.0,93.25605505823656
3,4,r3c4,E,-0.05,93.13410312864703
3,5,r3c5,G,1.0,93.05940022007476
3,6,r3c6,E,-0.05,91.7412154700283
4,1,r4c1,E,-0.05,95.5139643000192
4,2,r4c2,E,-0.05,94.40222950152672
4,3,r4c3,S,-0.05,93.17304684349658
4,4,r4c4,B,-1.0,91.07065123579353
4,5,r4c5,E,-0.05,91.76070636750596
4,6,r4c6,G,1.0,91.83501950350872
5,1,r5c1,E,-0.05,94.26067296213346
5,5,r5c5,B,-1.0,89.49420969756643
5,6,r5c6,E,-0.05,90.50306570128059
6,1,r6c1,E,-0.05,92.87236653210687
6,2,r6c2,E,-0.05,91.65201282224999
6,3,r6c3,E,-0.05,90.44687549281524
6,4,r6c4,E,-0.05,89.25676481337345
6,5,r6c5,E,-0.05,88.49889936660136
6,6,r6c6,E,-0.05,89.22288464231255
