row,col,state,action,arrow
1,1,r1c1,right,>
1,2,r1c2,right,>
1,3,r1c3,down,v
1,5,r1c5,up,^
1,6,r1c6,left,<
1,7,r1c7,left,<
1,9,r1c9,up,^
1,10,r1c10,left,<
2,3,r2c3,down,v
2,5,r2c5,up,^
2,7,r2c7,up,^
2,9,r2c9,up,^
2,10,r2c10,up,^
3,1,r3c1,down,v
3,2,r3c2,left,<
3,3,r3c3,right,>
3,4,r3c4,right,>
3,5,r3c5,up,^
3,7,r3c7,up,^
3,8,r3c8,right,>
3,9,r3c9,up,^
3,10,r3c10,down,v
4,1,r4c1,down,v
4,5,r4c5,up,^
4,9,r4c9,right,>
4,10,r4c10,down,v
5,1,r5c1,right,>
5,2,r5c2,right,>
5,3,r5c3,up,^
5,5,r5c5,up,^
5,6,r5c6,left,<
5,7,r5c7,left,<
5,9,r5c9,right,>
5,10,r5c10,right,>
6,1,r6c1,up,^
6,3,r6c3,up,^
6,7,r6c7,down,v
6,9,r6c9,up,^
7,1,r7c1,up,^
7,3,r7c3,up,^
7,4,r7c4,left,<
7,5,r7c5,down,v
7,7,r7c7,down,v
7,8,r7c8,left,<
7,9,r7c9,up,^
7,10,r7c10,left,<
8,1,r8c1,up,^
8,3,r8c3,up,^
8,5,r8c5,right,>
8,7,r8c7,down,v
8,10,r8c10,down,v
9,1,r9c1,up,^
9,2,r9c2,right,>
9,3,r9c3,up,^
9,5,r9c5,right,>
9,6,r9c6,right,>
9,7,r9c7,down,v
9,8,r9c8,down,v
9,10,r9c10,down,v
10,1,r10c1,up,^
10,3,r10c3,up,^
10,4,r10c4,right,>
10,5,r10c5,up,^
10,7,r10c7,down,v
10,8,r10c8,left,<
10,9,r10c9,left,<
10,10,r10c10,left,<
