row,col,state,cell_type,reward,utility
1,1,r1c1,E,-0.05,78.06762378956213
1,2,r1c2,E,-0.05,79.11645742326873
1,3,r1c3,E,-0.05,80.17853390588576
1,5,r1c5,G,1.0,88.46281908990024
1,6,r1c6,E,-0.05,87.29744728079923
1,7,r1c7,E,-0.05,86.00653181123572
1,9,r1c9,G,1.0,87.2387443887074
1,10,r1c10,E,-0.05,85.94972867039499
2,3,r2c3,E,-0.05,81.38678000542862
2,5,r2c5,B,-1.0,86.11290862743266
2,7,r2c7,E,-0.05,84.87178702555946
2,9,r2c9,B,-1.0,84.89534465263694
2,10,r2c10,E,-0.05,84.82444420373349
3,1,r3c1,E,-0.05,83.4788233589843
3,2,r3c2,E,-0.05,82.37559613505682
3,3,r3c3,E,-0.05,82.47752217721434
3,4,r3c4,E,-0.05,83.71837911759178
3,5,r3c5,E,-0.05,84.83856067210684
3,7,r3c7,E,-0.05,83.61902431688
3,8,r3c8,E,-0.05,82.54833924510889
3,9,r3c9,E,-0.05,83.65374756891079
3,10,r3c10,E,-0.05,83.78130321976315
4,1,r4c1,E,-0.05,84.73388362256846
4,5,r4c5,E,-0.05,83.7183791175918
4,9,r4c9,B,-1.0,82.93167899321988
4,10,r4c10,E,-0.05,84.91822372687427
5,1,r5c1,S,-0.05,85.86688720366149
5,2,r5c2,E,-0.05,87.29744728079915
5,3,r5c3,G,1.0,88.46281908990015
5,5,r5c5,E,-0.05,82.47752217721435
5,6,r5c6,E,-0.05,81.38678000542863
5,7,r5c7,E,-0.05,80.41825333010371
5,9,r5c9,E,-0.05,84.79519992134628
5,10,r5c10,G,1.0,86.30187292624362
6,1,r6c1,E,-0.05,84.73388362256844
6,3,r6c3,B,-1.0,86.11290862743256
6,7,r6c7,E,-0.05,81.29814632448448
6,9,r6c9,E,-0.05,83.6755590245714
7,1,r7c1,E,-0.05,83.61500726817232
7,3,r7c3,E,-0.05,84.83856067210674
7,4,r7c4,E,-0.05,83.7183791175917
7,5,r7c5,E,-0.05,83.12917709969591
7,7,r7c7,E,-0.05,82.38776938413706
7,8,r7c8,E,-0.05,81.29814632448449
7,9,r7c9,E,-0.05,82.31359289435976
7,10,r7c10,E,-0.05,81.25286526035589
8,1,r8c1,E,-0.05,82.51008199051431
8,3,r8c3,E,-0.05,83.7183791175917
8,5,r8c5,G,1.0,84.1682689825561
8,7,r8c7,B,-1.0,83.62735319316101
8,10,r8c10,E,-0.05,81.47945482068414
9,1,r9c1,E,-0.05,81.41540084020507
9,2,r9c2,E,-0.05,81.38678000542855
9,3,r9c3,E,-0.05,82.47752217721427
9,5,r9c5,E,-0.05,83.60819611617951
9,6,r9c6,E,-0.05,84.8118918465276
9,7,r9c7,E,-0.05,85.94588037994336
9,8,r9c8,E,-0.05,85.04601870288796
9,10,r9c10,E,-0.05,82.5713671290261
10,1,r10c1,B,-1.0,79.1533634232449
10,3,r10c3,E,-0.05,81.37499150157528
10,4,r10c4,E,-0.05,81.27949271278406
10,5,r10c5,E,-0.05,82.3688802470364
10,7,r10c7,G,1.0,87.34841822670607
10,8,r10c8,E,-0.05,86.07048067384807
10,9,r10c9,E,-0.05,84.93493852080756
10,10,r10c10,E,-0.05,83.67706620893804
