iteration,r1c1,r1c2,r1c3,r1c5,r1c6,r1c7,r1c9,r1c10,r2c3,r2c5,r2c7,r2c9,r2c10,r3c1,r3c2,r3c3,r3c4,r3c5,r3c7,r3c8,r3c9,r3c10,r4c1,r4c5,r4c9,r4c10,r5c1,r5c2,r5c3,r5c5,r5c6,r5c7,r5c9,r5c10,r6c1,r6c3,r6c7,r6c9,r7c1,r7c3,r7c4,r7c5,r7c7,r7c8,r7c9,r7c10,r8c1,r8c3,r8c5,r8c7,r8c10,r9c1,r9c2,r9c3,r9c5,r9c6,r9c7,r9c8,r9c10,r10c1,r10c3,r10c4,r10c5,r10c7,r10c8,r10c9,r10c10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.05,-0.05,-0.05,1.0,-0.05,-0.05,1.0,-0.05,-0.05,-1.0,-0.05,-1.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-1.0,-0.05,-0.05,-0.05,1.0,-0.05,-0.05,-0.05,-0.05,1.0,-0.05,-1.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,1.0,-1.0,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-1.0,-0.05,-0.05,-0.05,1.0,-0.05,-0.05,-0.05
2,-0.0995,-0.0995,-0.0995,1.88605,0.7321,-0.0995,1.88605,0.7321,-0.0995,-0.4059999999999999,-0.0995,-0.31194999999999995,-0.09950000000000002,-0.0995,-0.0995,-0.0995,-0.0995,-0.0995,-0.0995,-0.0995,-0.2876,-0.0995,-0.0995,-0.0995,-1.0495,0.63805,-0.0995,0.7321,1.88605,-0.0995,-0.0995,-0.0995,0.63805,1.88605,-0.0995,-0.4059999999999999,-0.0995,-0.0995,-0.0995,-0.0995,-0.0995,0.7321,-0.09950000000000002,-0.0995,-0.0995,-0.0995,-0.0995,-0.0995,1.7821,-1.2376,-0.0995,-0.09950000000000002,-0.0995,-0.0995,0.7321,-0.0995,0.7321,-0.0995,-0.0995,-1.2376,-0.0995,-0.0995,-0.0995,1.88605,0.7321,-0.0995,-0.0995
3,-0.148505,-0.148505,-0.148505,2.75294845,1.5887074,0.5101221999999999,2.75294845,1.5063790000000001,-0.148505,0.4133636000000003,-0.148505,0.4530180500000003,0.48908965,-0.148505,-0.148505,-0.148505,-0.148505,-0.148505,-0.148505,-0.148505,-0.26358755,0.4170127,-0.148505,-0.148505,-0.45996985,1.4030180500000002,0.5101221999999999,1.5887074,2.75294845,-0.148505,-0.148505,-0.148505,1.3300006000000002,2.7436375,-0.148505,0.4133636000000003,-0.148505,0.4356346,-0.148505,-0.148505,0.5101221999999999,1.4240506000000002,-0.148505,-0.148505,-0.148505,-0.148505,-0.148505,-0.148505,2.5563789999999997,-0.6652216,-0.148505,-0.148505,-0.148505,-0.148505,1.4240506000000002,0.5101221999999999,1.4240506000000002,0.5924505999999999,-0.148505,-1.3238488,-0.148505,-0.148505,0.5101221999999999,2.75294845,1.5063790000000001,0.5101221999999999,-0.148505
4,-0.19701995,-0.19701995,-0.19701995,3.61015910155,2.4448992376,1.2440563636,3.60200858995,2.32788656875,-0.19701995,1.2621811652000003,0.32461279239999996,1.2736038347000003,1.2363208303000002,-0.19701995,-0.19701995,-0.19701995,-0.19701995,0.24797998120000025,-0.19701995,-0.19701995,0.33537255790000026,1.0763793854500001,0.32461279239999996,-0.19701995,0.2167651875500003,2.2163226718000004,1.1788522707999998,2.4448992376,3.61015910155,-0.19701995,-0.19701995,-0.19701995,2.1205517102500004,3.58347979945,0.32461279239999996,1.2621811652000003,-0.19701995,1.0896161260000001,-0.19701995,0.38023778379999995,1.1788522708,2.1661352752000003,-0.19701995,-0.19701995,0.2656186132,-0.19701995,-0.19701995,-0.19701995,3.3066141868,-0.0038658015999998296,-0.19701995,-0.19701995,-0.19701995,-0.19701995,2.1661352752000003,1.1788522708,2.2394898796000002,1.3426857868000002,-0.19701995,-1.3797380224,-0.19701995,0.32461279239999996,1.113648178,3.60200858995,2.3381193028,1.2440563636,0.32461279239999996
5,-0.2450497505,-0.2450497505,-0.2450497505,4.45869678400345,3.2933360574724,2.0416584426232003,4.4398504239517,3.1556473357463504,-0.2450497505,2.1091578791372,0.9995659728663999,2.1012733450754,2.0421687042850003,0.16808338148079993,-0.2450497505,-0.2450497505,0.10739019501040019,0.9546925259272003,0.16808338148079993,0.1766051157568002,1.0457508211919502,1.8450909984572506,0.9479243313687998,0.10739019501040019,0.9984640586124505,3.0289916992400503,1.9506335290744004,3.2933360574724,4.45869678400345,-0.2450497505,-0.2450497505,-0.2450497505,2.91744775120585,4.41229644581815,0.9479243313687998,2.1091578791372,-0.2450497505,1.8452209474660004,0.16808338148079993,1.1039973982438,1.8989918875768004,2.899992202999601,-0.09207166496719987,0.12135999155440004,0.773966021692,0.12135999155440004,-0.2450497505,0.2121383746696,4.0477332204352,0.7729105559264005,-0.2450497505,-0.2450497505,-0.2450497505,-0.2450497505,2.8999922029996004,1.9570887342616003,3.0524230709428,2.1564258787912003,0.16808338148079993,-1.4292279288352,0.16808338148079993,0.8962826898712,1.8079669740280002,4.44086346462265,3.1671905071108,2.0481136478104003,0.9479243313688
6,-0.292599252995,-0.292599252995,-0.292599252995,5.298739104236842,4.133368392310269,2.8594033746516114,5.268315813979854,3.9809453237328505,-0.292599252995,2.9489011129998985,1.7649075491851218,2.9265622986564264,2.8594734527977894,0.6931363999111887,0.03460218753379356,-0.013466816150763054,0.7273797391464019,1.7255992296494849,0.7757804117367112,0.813202463303871,1.814356404606908,2.635154765943391,1.6825907726379474,0.7273797391464019,1.7913180844655026,3.8432569051153727,2.746011175129164,4.133368392310269,5.298739104236842,-0.013466816150763054,-0.292599252995,-0.292599252995,3.726063600689742,5.2312263114487365,1.6825907726379474,2.9489011129998985,-0.1714406092530223,2.6259723665533015,0.7340365799772878,1.917748979572902,2.6227942185158906,3.6309041355517424,0.5650447046258419,0.5870103675078352,1.4354442687208435,0.5507358030444497,0.03460218753379356,0.8663693375936704,4.780003166778599,1.5705553622601252,0.03460218753379356,-0.292599252995,-0.292599252995,0.06949374213932319,3.6366557233735373,2.755022641570495,3.8744018106733664,2.97409092765542,0.734036579977288,-1.4770665323053696,0.6522362198450896,1.5593738160246735,2.5145145415017045,5.27036120718275,3.9942018861854365,2.8639413838982133,1.6825907726379472
7,-0.33967326046505,-0.33967326046505,-0.33967326046505,6.130380012713743,4.965008312233012,3.6814345481695696,6.088182977305602,4.799707583548578,-0.11860037048441434,3.7804837909295586,2.564099167462731,3.745323664066012,3.675726235790385,1.3546580120863074,0.5058152618613526,0.49578421255851984,1.4606957782333796,2.5283745994067126,1.505116083583634,1.5479843601828378,2.6092247062313687,3.4343610747358553,2.4579938236846117,1.4606957782333796,2.592361049375744,4.650954162635907,3.556780739692047,4.965008312233012,6.130380012713743,0.49578421255851973,-0.11860037048441434,-0.24371561462140368,4.530442993318262,6.041505077107247,2.4579938236846117,3.7804837909295586,0.3635701654315684,3.4209849003238295,1.4279511347647573,2.735043458106711,3.3449893306231266,4.354878645141347,1.3079332990512533,1.2030999135934595,2.1424069851948913,1.1448203218941542,0.5382082044737031,1.640398320665285,5.505250934122253,2.3794961957808116,0.5382082044737032,-0.08052971956624551,-0.052895608318666035,0.6140770697994749,4.36853866621811,3.5640207170842646,4.691308319442104,3.791408674953416,1.4279511347647575,-1.5241977817685033,1.2564753285279984,2.2502515324422356,3.2335462803069532,6.091317822332189,4.813987064658984,3.6804682878707125,2.457487683956294
8,-0.38627652786039945,-0.38627652786039945,-0.21118679899573606,6.953704414239012,5.788332615891421,4.500594421136144,6.899742083550601,5.610908866140595,0.31917822299043375,4.603796760673337,3.3733877973079203,4.55652485811182,4.486052346256257,2.080917962479031,1.1230405674209032,1.144212256726173,2.241690446820326,3.3390611298025794,2.283023484563364,2.323006870651446,3.4095485399972323,4.231870689123394,3.2536531229256545,2.241690446820326,3.390382799063052,5.451960227058094,4.368969360378099,5.788332615891421,6.953704414239012,1.144212256726173,0.31917822299043364,0.20207828849632614,5.330193270089198,6.843425485803511,3.2536531229256545,4.603796760673337,1.0578700656040432,4.2154658609721825,2.1794654330416345,3.5460664085004647,4.061371774415326,5.072445669425508,2.0831532751102295,1.8850001151658589,2.891864144369747,1.8134061563847714,1.1875025232194811,2.4409532863122423,6.22377705364941,3.186656435762748,1.1875025232194811,0.36305179048256664,0.42587570883408826,1.3047524346535058,5.09548211877176,4.371192290980831,5.502511225098824,4.602466737655073,2.179064570376807,-1.36557069868663,1.9173839011286704,2.9565184574266703,3.9527786071069135,6.90394889909922,5.626257893508722,4.491410476208317,3.249589327046989
9,-0.4324137625817954,-0.29374269732098207,0.14364028324966616,7.76879556206021,6.6034237540238,5.313883671411968,7.703150174191505,6.414194890199365,0.919413395479235,5.418885654690619,4.182401565406795,5.359810873404517,5.289054965215791,2.8440851678172123,1.8204490586327313,1.8702944913736421,3.0383911232740677,4.148701440538951,3.0777201406341397,3.1103178040667947,4.207700566042272,5.024453003512952,4.054447051758735,3.0383911232740677,4.183186939028567,6.245384944342375,5.178582750125286,6.6034237540238,7.76879556206021,1.8702944913736421,0.919413395479235,0.8394374865955914,6.122972002099869,7.63723617032968,4.054447051758735,5.418885654690619,1.8093156668769024,5.006175310383137,2.958427429099362,4.349343414561947,4.771528581519237,5.783479353430576,2.8666790827614292,2.6135864251436796,3.654791182773481,2.5374463616216607,1.911262122566432,3.241793346222192,6.935856277521863,3.988946864559292,1.9109446393358884,0.9686058208221779,1.067687318594726,2.054567188964568,5.81643219305584,5.173484963892474,6.306319771921538,5.406389069971544,2.9551295319558233,-0.9828459802777599,2.6105541155243586,3.6659913113991567,4.66964224745606,7.708418000554768,6.430571266571798,5.295295525948156,4.044633833001943
