row,col,state,cell_type,reward,utility
1,1,r1c1,E,-0.05,78.06762279458312
1,2,r1c2,E,-0.05,79.11645642828971
1,3,r1c3,E,-0.05,80.17853291090674
1,5,r1c5,G,1.0,88.46281809492118
1,6,r1c6,E,-0.05,87.2974462858202
1,7,r1c7,E,-0.05,86.00653081625667
1,9,r1c9,G,1.0,87.2387434080119
1,10,r1c10,E,-0.05,85.9497276896995
2,3,r2c3,E,-0.05,81.3867790104496
2,5,r2c5,B,-1.0,86.1129076324536
2,7,r2c7,E,-0.05,84.87178603058041
2,9,r2c9,B,-1.0,84.89534367194145
2,10,r2c10,E,-0.05,84.82444322303803
3,1,r3c1,E,-0.05,83.47882236400531
3,2,r3c2,E,-0.05,82.37559514007783
3,3,r3c3,E,-0.05,82.4775211822353
3,4,r3c4,E,-0.05,83.71837812261273
3,5,r3c5,E,-0.05,84.83855967712778
3,7,r3c7,E,-0.05,83.61902332350807
3,8,r3c8,E,-0.05,82.54833826459372
3,9,r3c9,E,-0.05,83.65374658839538
3,10,r3c10,E,-0.05,83.78130224068612
4,1,r4c1,E,-0.05,84.73388262758948
4,5,r4c5,E,-0.05,83.71837812261273
4,9,r4c9,B,-1.0,82.93167801416067
4,10,r4c10,E,-0.05,84.91822274797505
5,1,r5c1,S,-0.05,85.86688620868254
5,2,r5c2,E,-0.05,87.2974462858202
5,3,r5c3,G,1.0,88.46281809492118
5,5,r5c5,E,-0.05,82.47752118223528
5,6,r5c6,E,-0.05,81.38677901044959
5,7,r5c7,E,-0.05,80.41825233656871
5,9,r5c9,E,-0.05,84.79519894244731
5,10,r5c10,G,1.0,86.30187194736219
6,1,r6c1,E,-0.05,84.73388262758948
6,3,r6c3,B,-1.0,86.1129076324536
6,7,r6c7,E,-0.05,81.29814534250191
6,9,r6c9,E,-0.05,83.67555804567463
7,1,r7c1,E,-0.05,83.61500627319339
7,3,r7c3,E,-0.05,84.83855967712778
7,4,r7c4,E,-0.05,83.71837812261273
7,5,r7c5,E,-0.05,83.12917611498571
7,7,r7c7,E,-0.05,82.38776840215449
7,8,r7c8,E,-0.05,81.29814534250191
7,9,r7c9,E,-0.05,82.31359191508854
7,10,r7c10,E,-0.05,81.25286428078495
8,1,r8c1,E,-0.05,82.51008099553538
8,3,r8c3,E,-0.05,83.71837812261273
8,5,r8c5,G,1.0,84.1682679991295
8,7,r8c7,B,-1.0,83.62735221117843
8,10,r8c10,E,-0.05,81.47945383870157
9,1,r9c1,E,-0.05,81.41539984522613
9,2,r9c2,E,-0.05,81.38677901044959
9,3,r9c3,E,-0.05,82.4775211822353
9,5,r9c5,E,-0.05,83.60819513403649
9,6,r9c6,E,-0.05,84.81189086454503
9,7,r9c7,E,-0.05,85.94587939796078
9,8,r9c8,E,-0.05,85.04601772090541
9,10,r9c10,E,-0.05,82.57136614704358
10,1,r10c1,B,-1.0,79.15336242826594
10,3,r10c3,E,-0.05,81.37499050802253
10,4,r10c4,E,-0.05,81.27949173064106
10,5,r10c5,E,-0.05,82.36887926489341
10,7,r10c7,G,1.0,87.34841724472349
10,8,r10c8,E,-0.05,86.0704796918655
10,9,r10c9,E,-0.05,84.93493753882501
10,10,r10c10,E,-0.05,83.67706522695548
